narration_id,start_frame,stop_frame,narration,noun,noun_class,all_nouns,all_noun_classes
P01_01_21,3366,3396,close drawer,drawer,8,drawer,8
P01_01_210,57569,57630,take spatula,spatula,20,spatula,20
P01_01_217,59672,59824,open cupboard,cupboard,3,cupboard,3
P01_01_218,59830,60475,put cutlery into cupboard,cutlery,58,cupboard,3
P01_01_219,60460,60567,close drawer,drawer,8,drawer,8
P01_01_22,3447,3522,put down knife,knife,4,knife,4
P01_01_220,60596,60653,take spatula,spatula,20,spatula,20
P01_01_225,62015,62073,put down spatula,spatula,20,spatula,20
P01_01_226,62102,62257,take spoon,spoon,1,spoon,1
P01_01_227,62217,62485,take glass,glass,10,glass,10
P01_01_228,62413,62920,put down,glass,10,glass,10
P01_01_229,62491,62762,put down glass,glass,10,glass,10
P01_01_23,3543,3738,open tap,tap,0,tap,0
P01_01_230,62778,62904,open drawer,drawer,8,drawer,8
P01_01_231,63100,63166,take spatula,spatula,20,spatula,20
P01_01_232,63112,64045,stir vegetables into a bowl,vegetable,94,bowl,7
P01_01_233,63992,64055,put down spatula,spatula,20,spatula,20
P01_01_234,64449,64576,take container,container,21,container,21
P01_01_235,64522,64602,open container,container,21,container,21
P01_01_236,64625,64729,take container out of container,container,21,container,21
P01_01_236,64625,64729,take container out of container,container,21,container,21
P01_01_237,64741,65014,close container,container,21,container,21
P01_01_238,65020,65073,put container back into cupboard,container,21,container,21
P01_01_238,65020,65073,put container back into cupboard,container,21,cupboard,3
P01_01_239,65186,65277,take spatula,spatula,20,spatula,20
P01_01_243,67915,68025,put down spatula,spatula,20,spatula,20
P01_01_246,70714,70831,put down spatula,spatula,20,spatula,20
P01_01_248,72849,72924,take spatula,spatula,20,spatula,20
P01_01_249,72911,73550,put down spatula,spatula,20,spatula,20
P01_01_251,73536,73596,take spoon,spoon,1,spoon,1
P01_01_254,74168,74335,put down spoon,spoon,1,spoon,1
P01_01_255,74873,74985,open cupboard,cupboard,3,cupboard,3
P01_01_257,75839,75921,take glass and bottle,glass,10,glass,10
P01_01_258,75900,76222,pour water onto glass,water,27,glass,10
P01_01_261,76567,76656,put down glass,glass,10,glass,10
P01_01_262,76843,76892,take spatula,spatula,20,spatula,20
P01_01_265,77757,77818,put down spatula,spatula,20,spatula,20
P01_01_266,78270,78327,take spatula,spatula,20,spatula,20
P01_01_268,78688,78841,put down spatula,spatula,20,spatula,20
P01_01_271,81219,81328,take spoon,spoon,1,spoon,1
P01_01_274,81960,82176,put down spoon,spoon,1,spoon,1
P01_01_279,84580,84786,pour rice onto pan,rice,55,pan,5
P01_01_28,4931,4991,close tap,tap,0,tap,0
P01_01_284,85702,85751,put down spatula,spatula,20,spatula,20
P01_01_285,85769,85814,take spatula,spatula,20,spatula,20
P01_01_287,86181,86221,put down spatula,spatula,20,spatula,20
P01_01_292,86631,86695,take spatula,spatula,20,spatula,20
P01_01_3,766,839,open fridge,fridge,12,fridge,12
P01_01_30,5245,5297,open cupboard,cupboard,3,cupboard,3
P01_01_301,92925,92991,put down spatula,spatula,20,spatula,20
P01_01_304,93332,93407,take container,container,21,container,21
P01_01_305,93409,93520,take spatula,spatula,20,spatula,20
P01_01_306,93457,93778,pour rice into container,rice,55,container,21
P01_01_307,93649,94426,pour rice into container,rice,55,container,21
P01_01_309,93862,93967,pour rice into container,rice,55,container,21
P01_01_311,94433,94479,put down container,container,21,container,21
P01_01_312,94451,94518,put down spatula,spatula,20,spatula,20
P01_01_313,94522,94637,take plate,plate,2,plate,2
P01_01_314,94666,94749,put down plate,plate,2,plate,2
P01_01_315,94753,94809,take spatula,spatula,20,spatula,20
P01_01_316,94806,95553,pour rice onto plate,rice,55,plate,2
P01_01_319,96366,97087,pour rice into container,rice,55,container,21
P01_01_32,5716,5973,take pan,pan,5,pan,5
P01_01_321,97089,97230,put down spatula,spatula,20,spatula,20
P01_01_322,97259,97387,put down pan,pan,5,pan,5
P01_01_323,97516,97617,open tap,tap,0,tap,0
P01_01_324,97624,97782,washing pan,pan,5,pan,5
P01_01_327,98098,98167,close tap,tap,0,tap,0
P01_01_328,98257,98383,take plate,plate,2,plate,2
P01_01_329,98424,98501,put down plate,plate,2,plate,2
P01_01_33,6044,6135,put down pan,pan,5,pan,5
P01_01_34,6099,6144,close cupboard,cupboard,3,cupboard,3
P01_01_35,6181,6226,close cupboard,cupboard,3,cupboard,3
P01_01_45,15003,15472,pour courgette onto pan,courgette,76,pan,5
P01_01_47,15903,15986,open drawer,drawer,8,drawer,8
P01_01_48,16114,16154,close drawer,drawer,8,drawer,8
P01_01_49,16225,16329,take spatula,spatula,20,spatula,20
P01_01_5,990,1083,take container,container,21,container,21
P01_01_53,16968,17103,pour salt onto pan,salt,38,pan,5
P01_01_56,17661,17736,put down spatula,spatula,20,spatula,20
P01_01_59,18078,18207,open tap,tap,0,tap,0
P01_01_61,18901,18956,close tap,tap,0,tap,0
P01_01_65,20498,20772,pour celery onto pan,celery,223,pan,5
P01_01_66,20760,20860,put down cutting board and knife,board:cutting,18,knife,4
P01_01_69,21612,21710,open fridge,fridge,12,fridge,12
P01_01_7,1314,1399,close fridge,fridge,12,fridge,12
P01_01_70,21645,21784,put celery back into fridge,celery,223,fridge,12
P01_01_71,21784,21849,close fridge,fridge,12,fridge,12
P01_01_72,22040,22100,take spatula,spatula,20,spatula,20
P01_01_73,22102,22681,stir something,spatula,20,spatula,20
P01_01_74,22669,22758,put down spatula,spatula,20,spatula,20
P01_01_75,22755,22872,open container,container,21,container,21
P01_01_76,22891,23091,take onion,onion,16,onion,16
P01_01_77,23040,23085,take onion,onion,16,onion,16
P01_01_78,23091,23134,put down onion,onion,16,onion,16
P01_01_79,23128,23302,close container,container,21,container,21
P01_01_8,1390,1457,open fridge,fridge,12,fridge,12
P01_01_80,23431,23476,take spatula,spatula,20,spatula,20
P01_01_81,23457,23527,take knife,knife,4,knife,4
P01_01_82,23555,23925,cut onion,onion,16,onion,16
P01_01_83,23724,24421,still cutting onion,onion,16,onion,16
P01_01_84,24503,25330,still cutting onion,onion,16,onion,16
P01_01_85,25481,25585,put down knife,knife,4,knife,4
P01_01_87,25784,26028,open tap,tap,0,tap,0
P01_01_90,26490,26535,close tap,tap,0,tap,0
P01_01_92,27004,27048,take spatula,spatula,20,spatula,20
P01_01_95,28050,28113,take glass,glass,10,glass,10
P01_01_96,28148,28219,take glass,glass,10,glass,10
P01_01_97,28287,28362,open cupboard,cupboard,3,cupboard,3
P01_01_98,28450,28633,put glass into cupboard,glass,10,glass,10
P01_01_98,28450,28633,put glass into cupboard,glass,10,cupboard,3
P01_01_99,28604,28759,close cupboard,cupboard,3,cupboard,3
P01_02_0,304,410,take plate,plate,2,plate,2
P01_02_10,1812,1947,pour washing up liquid into sponge,liquid:washing:up,22,sponge,9
P01_02_101,20049,20565,still squeezing sponge,sponge,9,sponge,9
P01_02_11,1948,2132,squeeze sponge,sponge,9,sponge,9
P01_02_12,2078,2142,take fork,fork,14,fork,14
P01_02_120,25059,25171,open tap,tap,0,tap,0
P01_02_122,25469,25549,close tap,tap,0,tap,0
P01_02_128,26757,26839,take cloth,cloth,17,cloth,17
P01_02_129,26814,27054,dry hands,hand,11,hand,11
P01_02_13,2129,2474,wash fork,fork,14,fork,14
P01_02_130,27070,27205,put down cloth,cloth,17,cloth,17
P01_02_133,27828,27948,open drawer,drawer,8,drawer,8
P01_02_135,28087,28165,take lid,lid,6,lid,6
P01_02_136,28107,28259,close lid,lid,6,lid,6
P01_02_137,28386,28531,take container,container,21,container,21
P01_02_138,28554,28600,open fridge,fridge,12,fridge,12
P01_02_139,28620,28866,put container into fridge,container,21,container,21
P01_02_139,28620,28866,put container into fridge,container,21,fridge,12
P01_02_14,2505,2557,take knife,knife,4,knife,4
P01_02_140,28927,29008,close fridge,fridge,12,fridge,12
P01_02_142,29340,29586,pour water into glass,water,27,glass,10
P01_02_15,2561,2966,wash knife,knife,4,knife,4
P01_02_16,2970,3001,put down knife,knife,4,knife,4
P01_02_17,3019,3068,take plate,plate,2,plate,2
P01_02_18,3053,3631,wash plate,plate,2,plate,2
P01_02_19,3627,3805,still washing plate,plate,2,plate,2
P01_02_20,3789,3847,put down plate,plate,2,plate,2
P01_02_21,3853,3891,take spatula,spatula,20,spatula,20
P01_02_22,3996,4057,open tap,tap,0,tap,0
P01_02_23,4042,4162,rinse spatula,spatula,20,spatula,20
P01_02_24,4159,4639,wash spatula,spatula,20,spatula,20
P01_02_25,4570,4873,still washing spatula,spatula,20,spatula,20
P01_02_26,4807,4920,put down spatula,spatula,20,spatula,20
P01_02_37,6801,6958,empty pan,pan,5,pan,5
P01_02_38,7001,7436,wash pan,pan,5,pan,5
P01_02_39,7507,7882,still washing pan,pan,5,pan,5
P01_02_4,1260,1353,put down plate,plate,2,plate,2
P01_02_40,7888,8179,continue washing pan,pan,5,pan,5
P01_02_41,8179,8275,put down pan,pan,5,pan,5
P01_02_49,9803,9837,put down sponge,sponge,9,sponge,9
P01_02_5,1441,1515,take sponge,sponge,9,sponge,9
P01_02_51,10098,10160,take spoon,spoon,1,spoon,1
P01_02_52,10249,10287,take sponge,sponge,9,sponge,9
P01_02_53,10292,10412,wash spoon,spoon,1,spoon,1
P01_02_54,10378,10422,put down sponge,sponge,9,sponge,9
P01_02_55,10424,10529,open tap,tap,0,tap,0
P01_02_56,10521,10587,rinse hand,hand,11,hand,11
P01_02_57,10593,10783,rinse spoon,spoon,1,spoon,1
P01_02_6,1471,1552,squeeze sponge,sponge,9,sponge,9
P01_02_65,13101,13176,take spatula,spatula,20,spatula,20
P01_02_67,13599,13686,put down spatula,spatula,20,spatula,20
P01_02_7,1575,1638,open tap,tap,0,tap,0
P01_02_72,14955,15204,empty pan,pan,5,pan,5
P01_02_73,15145,15234,empty pan,pan,5,pan,5
P01_02_74,15226,15686,rinse pan,pan,5,pan,5
P01_02_75,15240,15779,wash pan,pan,5,pan,5
P01_02_77,15477,15852,wash pan,pan,5,pan,5
P01_02_78,15750,16254,still rinsing pan,pan,5,pan,5
P01_02_79,16235,16710,washing pans,pan,5,pan,5
P01_02_8,1605,1755,rinse sponge,sponge,9,sponge,9
P01_02_80,16734,17152,rinse pan,pan,5,pan,5
P01_02_81,16752,17321,still rinsing pan,pan,5,pan,5
P01_02_82,17327,17458,put down pan,pan,5,pan,5
P01_02_83,17404,17486,take knife,knife,4,knife,4
P01_02_84,17479,17724,rinse knife,knife,4,knife,4
P01_02_85,17728,17773,take fork,fork,14,fork,14
P01_02_86,17729,17818,put down knife,knife,4,knife,4
P01_02_87,17779,17976,rinse fork,fork,14,fork,14
P01_02_88,17980,18027,put down fork,fork,14,fork,14
P01_02_89,18031,18076,take plate,plate,2,plate,2
P01_02_90,18088,18328,rinse plate,plate,2,plate,2
P01_02_91,18334,18495,still rinsing plate,plate,2,plate,2
P01_02_92,18546,18670,put down plate,plate,2,plate,2
P01_02_97,19504,19632,take sponge,sponge,9,sponge,9
P01_02_98,19602,19662,squeeze sponge,sponge,9,sponge,9
P01_02_99,19668,20025,still squeezing sponge,sponge,9,sponge,9
P01_03_10,1486,1555,put down container,container,21,container,21
P01_03_14,1978,2067,move glass,glass,10,glass,10
P01_03_17,2740,2862,open cupboard,cupboard,3,cupboard,3
P01_03_25,4175,4270,open fridge,fridge,12,fridge,12
P01_03_27,4328,4407,close fridge,fridge,12,fridge,12
P01_03_28,4578,4623,open drawer,drawer,8,drawer,8
P01_03_29,4700,4761,take spoon,spoon,1,spoon,1
P01_03_30,4767,4827,close drawer,drawer,8,drawer,8
P01_03_31,4910,4956,put down spoon,spoon,1,spoon,1
P01_03_32,5000,5053,open cupboard,cupboard,3,cupboard,3
P01_03_34,5264,5367,close cupboard,cupboard,3,cupboard,3
P01_03_4,696,787,open fridge,fridge,12,fridge,12
P01_03_6,891,940,take container,container,21,container,21
P01_03_7,1012,1078,put back container,container,21,container,21
P01_03_8,1112,1155,take container,container,21,container,21
P01_03_9,1180,1351,close fridge,fridge,12,fridge,12
P01_04_14,2716,2808,open tap,tap,0,tap,0
P01_04_16,3150,3369,rinse spoon,spoon,1,spoon,1
P01_04_18,3738,3779,turn tap,tap,0,tap,0
P01_04_21,4157,4307,rinse hands,hand,11,hand,11
P01_04_22,4284,4324,close tap,tap,0,tap,0
P01_04_23,4461,4766,dry hands,hand,11,hand,11
P01_04_26,5122,5167,take glass,glass,10,glass,10
P01_04_30,5937,6036,put down glass,glass,10,glass,10
P01_04_31,6029,6119,take container,container,21,container,21
P01_04_6,1134,1209,open cupboard,cupboard,3,cupboard,3
P01_04_8,1366,1456,close cupboard,cupboard,3,cupboard,3
P01_05_0,248,355,open fridge,fridge,12,fridge,12
P01_05_10,1845,2010,put cup into cupboard,cup,13,cupboard,3
P01_05_101,20269,20425,open cupboard,cupboard,3,cupboard,3
P01_05_103,20630,20790,close cupboard,cupboard,3,cupboard,3
P01_05_104,20848,20979,put pan on hob,pan,5,pan,5
P01_05_11,2087,2214,take plate,plate,2,plate,2
P01_05_110,23923,23976,open drawer,drawer,8,drawer,8
P01_05_111,23980,24040,take spoon,spoon,1,spoon,1
P01_05_112,24046,24136,close drawer,drawer,8,drawer,8
P01_05_114,24297,24510,pour salt into spoon,salt,38,spoon,1
P01_05_117,24829,24871,put down spoon,spoon,1,spoon,1
P01_05_12,2217,2397,take plate,plate,2,plate,2
P01_05_126,27900,28063,dry hands,hand,11,hand,11
P01_05_127,28137,28197,open cupboard,cupboard,3,cupboard,3
P01_05_129,28342,28455,close cupboard,cupboard,3,cupboard,3
P01_05_13,2418,2493,put down plate,plate,2,plate,2
P01_05_131,28652,28698,move glass,glass,10,glass,10
P01_05_132,28711,28753,move glass,glass,10,glass,10
P01_05_134,28900,28989,open drawer,drawer,8,drawer,8
P01_05_135,28990,29073,take knife,knife,4,knife,4
P01_05_14,2529,2679,put plate into cupboard,plate,2,plate,2
P01_05_14,2529,2679,put plate into cupboard,plate,2,cupboard,3
P01_05_140,30457,30535,put down knife,knife,4,knife,4
P01_05_148,31957,32033,move plate,plate,2,plate,2
P01_05_151,32583,32688,open drawer,drawer,8,drawer,8
P01_05_152,32673,32764,take fork,fork,14,fork,14
P01_05_153,32762,32813,close drawer,drawer,8,drawer,8
P01_05_154,32841,32959,put down fork,fork,14,fork,14
P01_05_157,34050,34218,turn on tap,tap,0,tap,0
P01_05_159,34918,34978,turn off tap,tap,0,tap,0
P01_05_16,2907,2952,open cupboard,cupboard,3,cupboard,3
P01_05_170,40726,40781,turn off tap,tap,0,tap,0
P01_05_172,41365,41463,dry hands,hand,11,hand,11
P01_05_175,41819,42335,put sausages onto pan,sausage,86,pan,5
P01_05_177,42488,42786,put sausages onto pan,sausage,86,pan,5
P01_05_178,43010,43145,throw box into lid into bin,box,23,lid,6
P01_05_179,43559,44136,dry hands,hand,11,hand,11
P01_05_18,3264,3339,put saucepan into cupboard,saucepan,5,cupboard,3
P01_05_183,46825,46876,open drawer,drawer,8,drawer,8
P01_05_186,47366,47412,take spoon,spoon,1,spoon,1
P01_05_187,47478,47938,stir,spoon,1,spoon,1
P01_05_188,47988,48033,put down spoon,spoon,1,spoon,1
P01_05_192,56743,56905,open drawer,drawer,8,drawer,8
P01_05_193,56924,57139,open drawer,drawer,8,drawer,8
P01_05_194,57062,57136,close drawer,drawer,8,drawer,8
P01_05_199,58308,58443,open drawer,drawer,8,drawer,8
P01_05_2,481,522,move container,container,21,container,21
P01_05_200,58363,58401,close drawer,drawer,8,drawer,8
P01_05_201,58392,58452,open drawer,drawer,8,drawer,8
P01_05_21,3871,4106,take bowls,bowl,7,bowl,7
P01_05_216,64954,65002,take knife,knife,4,knife,4
P01_05_218,65279,65341,put down knife,knife,4,knife,4
P01_05_22,4217,4429,put bowls into cupboard,bowl,7,bowl,7
P01_05_22,4217,4429,put bowls into cupboard,bowl,7,cupboard,3
P01_05_235,70987,71266,pour potato onto plate,potato,30,plate,2
P01_05_24,4777,4876,take lid,lid,6,lid,6
P01_05_240,71742,71816,take fork,fork,14,fork,14
P01_05_242,71895,72697,place sausages into pan,sausage,86,pan,5
P01_05_243,72797,73179,wash pan,pan,5,pan,5
P01_05_245,73179,73603,wash pan,pan,5,pan,5
P01_05_246,73568,73630,close tap,tap,0,tap,0
P01_05_25,4882,4965,take glass,glass,10,glass,10
P01_05_257,75751,75824,take knife,knife,4,knife,4
P01_05_26,4993,5079,put glass into cupboard,glass,10,glass,10
P01_05_26,4993,5079,put glass into cupboard,glass,10,cupboard,3
P01_05_28,5593,5667,take cloth,cloth,17,cloth,17
P01_05_31,6285,6357,open drawer,drawer,8,drawer,8
P01_05_32,6363,6412,put ladle back into drawer,ladle,97,drawer,8
P01_05_33,6591,6651,take knife,knife,4,knife,4
P01_05_34,6654,6705,dry knife,knife,4,knife,4
P01_05_35,6716,6750,put down knife,knife,4,knife,4
P01_05_36,6765,6829,take spatula,spatula,20,spatula,20
P01_05_38,7179,7306,open drawer,drawer,8,drawer,8
P01_05_39,7215,7290,put down cloth,cloth,17,cloth,17
P01_05_4,849,973,put mushrooms into fridge,mushroom,56,fridge,12
P01_05_40,7302,7359,put down spatula,spatula,20,spatula,20
P01_05_41,7311,7356,put spatula into drawer,spatula,20,spatula,20
P01_05_41,7311,7356,put spatula into drawer,spatula,20,drawer,8
P01_05_43,7587,7670,open drawer,drawer,8,drawer,8
P01_05_45,8387,8507,close drawers,drawer,8,drawer,8
P01_05_46,8525,8664,close cupboard,cupboard,3,cupboard,3
P01_05_47,8530,8629,close cupboard,cupboard,3,cupboard,3
P01_05_48,8670,8779,close cupboard,cupboard,3,cupboard,3
P01_05_49,8794,8905,open cupboard,cupboard,3,cupboard,3
P01_05_5,979,1192,close fridge,fridge,12,fridge,12
P01_05_51,9151,9416,put lid into cupboard,lid,6,lid,6
P01_05_51,9151,9416,put lid into cupboard,lid,6,cupboard,3
P01_05_52,9412,9498,close cupboard,cupboard,3,cupboard,3
P01_05_60,10840,10885,close tap,tap,0,tap,0
P01_05_63,11206,11268,take spoon,spoon,1,spoon,1
P01_05_64,11424,11476,open drawer,drawer,8,drawer,8
P01_05_65,11474,11530,put spoon,spoon,1,spoon,1
P01_05_66,11494,11575,close drawer,drawer,8,drawer,8
P01_05_67,11566,11677,take cloth,cloth,17,cloth,17
P01_05_68,11706,11772,hang cloth,cloth,17,cloth,17
P01_05_69,11811,11868,open drawer,drawer,8,drawer,8
P01_05_70,11860,11952,take knife,knife,4,knife,4
P01_05_71,11954,11989,close drawer,drawer,8,drawer,8
P01_05_72,12030,12083,put down knife,knife,4,knife,4
P01_05_73,12082,12126,move knife,knife,4,knife,4
P01_05_82,17281,17316,put down knife,knife,4,knife,4
P01_05_83,17307,17349,take knife,knife,4,knife,4
P01_05_84,17409,17481,open drawer,drawer,8,drawer,8
P01_05_85,17472,17518,put knife in drawer,knife,4,knife,4
P01_05_85,17472,17518,put knife in drawer,knife,4,drawer,8
P01_05_86,17521,17583,close drawer,drawer,8,drawer,8
P01_05_89,17777,17956,dry hands,hand,11,hand,11
P01_05_9,1801,1866,open cupboard,cupboard,3,cupboard,3
P01_05_90,17811,17886,take cloth,cloth,17,cloth,17
P01_05_95,18792,18864,take cloth,cloth,17,cloth,17
P01_05_96,18867,18951,dry hands,hand,11,hand,11
P01_05_99,19773,20109,dry hands,hand,11,hand,11
P01_06_0,34,91,take plate,plate,2,plate,2
P01_06_1,132,196,put down knife,knife,4,knife,4
P01_06_102,23471,23591,squeeze cloth,cloth,17,cloth,17
P01_06_105,24425,24506,turn off tap,tap,0,tap,0
P01_06_106,24511,24659,rinse cloth,cloth,17,cloth,17
P01_06_107,24638,24732,turn off tap,tap,0,tap,0
P01_06_111,26741,26807,turn on tap,tap,0,tap,0
P01_06_112,26799,26919,rinse cloth,cloth,17,cloth,17
P01_06_114,28154,28215,turn off tap,tap,0,tap,0
P01_06_115,28174,28392,squeeze cloth,cloth,17,cloth,17
P01_06_116,28524,28785,dry hands,hand,11,hand,11
P01_06_117,28852,29153,hang cloth,cloth,17,cloth,17
P01_06_16,3324,3373,take sponge,sponge,9,sponge,9
P01_06_19,3654,3725,take fork,fork,14,fork,14
P01_06_20,3720,3870,open tap,tap,0,tap,0
P01_06_21,3867,4155,wash fork,fork,14,fork,14
P01_06_22,4146,4207,put down fork,fork,14,fork,14
P01_06_23,4210,4243,take spoon,spoon,1,spoon,1
P01_06_24,4249,4387,wash spoon,spoon,1,spoon,1
P01_06_25,4390,4430,put down spoon,spoon,1,spoon,1
P01_06_26,4429,4504,take knife,knife,4,knife,4
P01_06_27,4506,4857,wash knife,knife,4,knife,4
P01_06_28,4860,4936,put down knife,knife,4,knife,4
P01_06_35,6511,6583,take knife,knife,4,knife,4
P01_06_36,6619,7000,wash knife,knife,4,knife,4
P01_06_37,6970,7035,put down knife,knife,4,knife,4
P01_06_38,7083,7130,take glass,glass,10,glass,10
P01_06_39,7134,7318,wash glass,glass,10,glass,10
P01_06_40,7331,7397,put down glass,glass,10,glass,10
P01_06_41,7399,7479,take plate,plate,2,plate,2
P01_06_42,7423,7489,take plate,plate,2,plate,2
P01_06_43,7469,7523,turn on tap,tap,0,tap,0
P01_06_44,7504,7639,rinse plate,plate,2,plate,2
P01_06_45,7647,8283,wash plate,plate,2,plate,2
P01_06_46,8310,8454,continue washing plate,plate,2,plate,2
P01_06_47,8460,8550,hold the plate,plate,2,plate,2
P01_06_48,8595,8751,take pan,pan,5,pan,5
P01_06_49,8686,8850,wash pan,pan,5,pan,5
P01_06_5,865,1013,put down plate and fork,plate,2,plate,2
P01_06_5,865,1013,put down plate and fork,plate,2,fork,14
P01_06_50,8840,8931,put down pan,pan,5,pan,5
P01_06_51,8917,9242,wash pan,pan,5,pan,5
P01_06_52,9214,9580,continue washing pan,pan,5,pan,5
P01_06_53,9582,9626,put down pan,pan,5,pan,5
P01_06_61,11698,11770,take colander and pan,colander,39,pan,5
P01_06_63,12409,12439,put down sponge,sponge,9,sponge,9
P01_06_64,12600,12738,turn on tap,tap,0,tap,0
P01_06_65,12811,12876,turn on tap,tap,0,tap,0
P01_06_69,14667,14890,take glass,glass,10,glass,10
P01_06_70,14848,15165,rinse glass,glass,10,glass,10
P01_06_71,15155,15246,put glass onto rack,glass,10,glass,10
P01_06_72,15252,16119,rinse pan,pan,5,pan,5
P01_06_73,16125,16200,put pan onto rack,pan,5,pan,5
P01_06_79,17994,18517,rinse plate,plate,2,plate,2
P01_06_80,18513,18694,put plate onto rack,plate,2,plate,2
P01_06_83,19308,19615,rinse knife,knife,4,knife,4
P01_06_84,19621,19704,put knife onto rack,knife,4,knife,4
P01_06_87,20092,20334,rinse knife,knife,4,knife,4
P01_06_88,20318,20399,put knife onto rack,knife,4,knife,4
P01_06_89,20381,20470,rinse fork,fork,14,fork,14
P01_06_9,1320,1406,put down glass,glass,10,glass,10
P01_06_90,20484,20533,put fork,fork,14,fork,14
P01_06_91,20518,20608,rinse spoon,spoon,1,spoon,1
P01_06_92,20643,20700,take sponge,sponge,9,sponge,9
P01_06_93,20704,21136,squeeze sponge,sponge,9,sponge,9
P01_06_94,20824,21600,continue squeezing sponge,sponge,9,sponge,9
P01_06_95,21654,21708,take cloth,cloth,17,cloth,17
P01_06_96,21780,21823,put down sponge,sponge,9,sponge,9
P01_06_97,21832,21929,rinse cloth,cloth,17,cloth,17
P01_06_98,21913,21972,turn off tap,tap,0,tap,0
P01_07_12,2351,2485,take spoon,spoon,1,spoon,1
P01_07_13,2553,2612,put down spoon,spoon,1,spoon,1
P01_07_16,2952,3035,open cupboard,cupboard,3,cupboard,3
P01_07_17,2971,3357,put cutting boards into cupboard,board:cutting,18,cupboard,3
P01_07_18,3363,3426,close cupboard.,cupboard,3,cupboard,3
P01_07_19,3448,3527,take plate.,plate,2,plate,2
P01_07_20,3567,3625,open cupboard.,cupboard,3,cupboard,3
P01_07_21,3638,3787,put plate into cupboard.,plate,2,plate,2
P01_07_21,3638,3787,put plate into cupboard.,plate,2,cupboard,3
P01_07_23,3837,3887,close cupboard.,cupboard,3,cupboard,3
P01_07_26,4168,4261,take pan.,pan,5,pan,5
P01_07_27,4300,4500,open cupboard.,cupboard,3,cupboard,3
P01_07_28,4526,4615,put fry pan into cupboard.,pan:fry,5,cupboard,3
P01_07_29,4653,4853,put saucepan into cupboard.,saucepan,5,cupboard,3
P01_07_30,4860,5019,close cupboard.,cupboard,3,cupboard,3
