narration_id,start_frame,stop_frame,narration,all_nouns,all_noun_classes
P02_108_29,3065,3148,close cupboard,cupboard,3
P02_108_290,45282,45516,rinse glass,glass,10
P02_108_291,45499,45554,close tap,tap,0
P02_108_293,45741,45786,pick up knife and spoon,knife,4
P02_108_293,45741,45786,pick up knife and spoon,spoon,1
P02_108_294,45785,45819,pick up sponge,sponge,9
P02_108_295,45802,46003,sponge spoon,spoon,1
P02_108_296,46042,46324,sponge knife,knife,4
P02_108_297,46323,46357,put down sponge,sponge,9
P02_108_298,46351,46397,open tap,tap,0
P02_108_299,46399,46483,rinse knife,knife,4
P02_108_300,46486,46514,put down knife,knife,4
P02_108_301,46484,46538,rinse spoon,spoon,1
P02_108_303,46767,46823,close tap,tap,0
P02_108_304,46842,46931,put down spoon,spoon,1
P02_108_306,47091,47126,shake hands,hand,11
P02_108_308,47374,47515,pick up sponge,sponge,9
P02_108_310,47705,47835,open tap,tap,0
P02_108_311,47698,47796,rinse sponge,sponge,9
P02_108_312,47796,47847,close tap,tap,0
P02_108_313,47845,47893,squeeze sponge,sponge,9
P02_108_314,47898,48047,throw sponge,sponge,9
P02_108_315,48145,48245,open tap,tap,0
P02_108_316,48232,48334,rinse hands,hand,11
P02_108_317,48319,48384,close tap,tap,0
P02_108_318,48389,48461,shake hands,hand,11
P02_108_319,48458,48606,dry hands using towel,hand,11
P02_108_329,49700,49781,open fridge,fridge,12
P02_108_330,49786,49819,open drawer,drawer,8
P02_108_332,50027,50073,close drawer,drawer,8
P02_108_333,50066,50104,close fridge,fridge,12
P02_108_335,50542,50605,open drawer,drawer,8
P02_108_341,51553,51614,open drawer,drawer,8
P02_108_342,51606,51663,get knife,knife,4
P02_108_343,51654,51693,close drawer,drawer,8
P02_108_347,52272,52334,put down knife,knife,4
P02_108_36,3851,3915,open cupboard,cupboard,3
P02_108_38,4026,4063,put bowls on floor,bowl,7
P02_108_39,4090,4135,return some bowls,bowl,7
P02_108_395,57504,57607,open cupboard,cupboard,3
P02_108_396,57583,57691,pick up glass,glass,10
P02_108_397,57688,57729,close cupboard,cupboard,3
P02_108_399,57819,57850,put down glass,glass,10
P02_108_40,4134,4235,pick up bowl from floor,bowl,7
P02_108_401,57899,58147,pour orange juice from bowl into glass,bowl,7
P02_108_401,57899,58147,pour orange juice from bowl into glass,glass,10
P02_108_402,58152,58246,open tap,tap,0
P02_108_404,58352,58406,close tap,tap,0
P02_108_405,58411,58847,sponge bowl,bowl,7
P02_108_406,58849,58874,put down sponge,sponge,9
P02_108_407,58870,58917,open tap,tap,0
P02_108_408,58923,59050,rinse bowl,bowl,7
P02_108_409,59054,59118,close tap,tap,0
P02_108_41,4192,4220,close cupboard,cupboard,3
P02_108_410,59136,59263,put down bowl,bowl,7
P02_108_413,59412,59477,open tap,tap,0
P02_108_414,59469,59749,rinse part,tap,0
P02_108_415,59753,59789,close tap,tap,0
P02_108_42,4202,4403,put down bowl,bowl,7
P02_108_421,60300,60473,open tap,tap,0
P02_108_423,60851,60983,close tap,tap,0
P02_108_424,60981,61033,pick up sponge,sponge,9
P02_108_425,61037,61079,squeeze sponge,sponge,9
P02_108_427,61145,61233,pour washing liquid onto sponge,sponge,9
P02_108_43,4540,4583,open cupboard,cupboard,3
P02_108_430,61860,61893,put down sponge,sponge,9
P02_108_431,61878,61950,open tap,tap,0
P02_108_433,62357,62397,close tap,tap,0
P02_108_437,62595,62617,put down sponge,sponge,9
P02_108_438,62638,62663,open tap,tap,0
P02_108_439,62676,62778,rinse part,tap,0
P02_108_44,4621,4651,pick up glass,glass,10
P02_108_440,62780,62829,close tap,tap,0
P02_108_443,63437,63508,open tap,tap,0
P02_108_444,63513,63567,rinse hands,hand,11
P02_108_445,63554,63592,close tap,tap,0
P02_108_446,63609,63653,shake hands,hand,11
P02_108_447,63671,63881,dry hands using towel,hand,11
P02_108_45,4656,4681,close cupboard,cupboard,3
P02_108_46,4766,4794,put glass inside bowl,glass,10
P02_108_46,4766,4794,put glass inside bowl,bowl,7
P02_108_49,4941,5019,pour flour from bag into glass,glass,10
P02_108_50,5139,5290,pour flour from glass into bowl,glass,10
P02_108_50,5139,5290,pour flour from glass into bowl,bowl,7
P02_108_51,5288,5372,return glass to bowl,glass,10
P02_108_51,5288,5372,return glass to bowl,bowl,7
P02_108_52,5387,5596,pour flour from bag into glass,glass,10
P02_108_53,5589,5855,pour flour from glass into bowl,glass,10
P02_108_53,5589,5855,pour flour from glass into bowl,bowl,7
P02_108_54,5876,5916,put down glass,glass,10
P02_108_58,6771,6884,rub hands,hand,11
P02_108_65,7592,7645,open drawer,drawer,8
P02_108_66,7646,7736,pick up spoon,spoon,1
P02_108_67,7720,7774,close drawer,drawer,8
P02_108_70,7981,8044,pour yeast into bowl,bowl,7
P02_108_72,8148,8200,pour yeast into bowl,bowl,7
P02_108_73,8191,8237,put down spoon,spoon,1
P02_108_74,8227,8272,pick up lid,lid,6
P02_108_76,8445,8474,open fridge,fridge,12
P02_108_77,8511,8621,put tin in fridge,fridge,12
P02_108_78,8629,8703,close fridge,fridge,12
P02_108_82,9135,9172,pour sugar into bowl,bowl,7
P02_108_84,9261,9290,pour sugar into bowl,bowl,7
P02_108_85,9340,9355,pick up lid,lid,6
P02_108_89,9747,9800,open drawer,drawer,8
P02_108_90,9805,9873,pick up spoon,spoon,1
P02_108_91,9883,10146,pour salt into spoon,spoon,1
P02_108_92,10129,10162,pour salt from spoon into bowl,spoon,1
P02_108_92,10129,10162,pour salt from spoon into bowl,bowl,7
P02_108_93,10187,10227,put down spoon,spoon,1
P02_108_97,10585,10649,open tap,tap,0
P02_108_99,10732,10758,close tap,tap,0
